"SchoolCode","School","Address","maxOccupancy","totalSQFT","Latitude","Longitude","Ward","Feeder","Level","TotalExp9815","TotalAllot1621","LifetimeBudget","Agency","Total.Enrolled","Limited.English.Proficient","Level.1","Level.2","Level.3","Level.4","At_Risk","SPED","AtRiskPer","SPEDPer","SqFtPerEnroll","LTBudgetPerEnroll","LTBudgetPerSqFt","ESLPer"
"321","Stoddert Elementary School","4001 Calvert St  NW",320,86625,"38.923044313","-77.079073796","3","5","Mixed",18707417,0,18707417,"DCPS","418","72","13","1","0","0","18",14,0.0430622009569378,0.0334928229665072,207.236842105263,44754.5861244019,215.958637806638,0.172248803827751
"324","Takoma Education Campus","7010 Piney Branch Rd  NW",450,119436,"38.975042541","-77.022794928","4","6","Mixed",26979598,0,27036559,"DCPS","442","113","25","20","5","27","189",77,0.427601809954751,0.17420814479638,270.217194570136,61168.685520362,226.368590709669,0.255656108597285
"325","Thomas Elementary School","650 Anacostia Ave NE",474,74826,"38.901278637","-76.952110911","7","1","Mixed",7563320,0,7572071,"DCPS","408","6","28","8","0","21","295",57,0.723039215686274,0.139705882352941,183.397058823529,18558.9975490196,101.195720738781,0.0147058823529412
"328","Tubman Elementary School","3101 13th St  NW",500,83462,"38.929198235","-77.029443298","1","4","Mixed",3644743,0,3644743,"DCPS","498","167","39","14","2","19","302",74,0.606425702811245,0.14859437751004,167.59437751004,7318.76104417671,43.669490306966,0.335341365461847
"329","Turner Elementary School","3264 Stanton Rd SE",530,101093,"38.847634942","-76.980309925","8","1","Mixed",27580545,0,27695424,"DCPS","392","0","16","16","4","0","333",36,0.849489795918367,0.0918367346938776,257.890306122449,70651.5918367347,273.959858743929,0
"330","Tyler Elementary School","1001 G St  SE",564,72954,"38.881084023","-76.992041663","6","3","Mixed",3750929,0,3750929,"DCPS","522","9","36","15","8","23","239",82,0.457854406130268,0.157088122605364,139.758620689655,7185.6877394636,51.4149875263865,0.0172413793103448
"333","Watkins Elementary School","420 12th St  SE",587,62970,"38.883466674","-76.989996769","6","2","Mixed",2675972,30313978,39400200,"DCPS","500","4","26","9","1","2","98",38,0.196,0.076,125.94,78800.4,625.697951405431,0.008
"335","Wheatley Education Campus","1299 Neal St NE",500,94773,"38.90411741","-76.988500771","5","5","Mixed",42645563,0,42645768,"DCPS","463","7","36","24","7","1","364",68,0.786177105831533,0.146868250539957,204.693304535637,92107.4902807775,449.978031717894,0.0151187904967603
"338","Whittier Education Campus","6201 5th St  NW",520,63516,"38.965856939","-77.019238602","4","6","Mixed",5208611,0,5241031,"DCPS","350","38","29","22","1","23","214",75,0.611428571428571,0.214285714285714,181.474285714286,14974.3742857143,82.5151300459727,0.108571428571429
"454","Cardozo EC","1200 Clifton St. NW",1070,NA,"38.922172198","-77.028470794","1","8","High",131527974,0,132124454,"DCPS","781","266","31","68","21","68","573",188,0.733674775928297,0.240717029449424,NA,169173.436619718,NA,0.340588988476312
"101 & 137","Maya Angelou PCS -Evans and Young Adult Learning Center*","5600 E Capitol Street, NE",646,125800,"38.89029144","-76.92063526","7",NA,"Elementary",NA,NA,NA,"PCS","252","0","9","11","46","22","0",88,0,0.349206349206349,499.206349206349,NA,NA,0
