"SCHOOLCODE","Level","Address","maxOccupancy","totalSQFT","Total.Enrolled","School","Limited.English.Proficient","At_Risk","SPED","latitude","longitude","Ward","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","Agency","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerEnroll","SpentPerSqFt","FeederMS","FeederHS","ProjectPhase","YrComplete","ProjectType"
159,"ES","3700 Oakview Terrace, NE","450",32341,350,"Elsie Whitlow Stokes Community Freedom PCS",63,62,26,38.93498987,-76.99008735,"5",NA,NA,NA,"PCS",0.177142857142857,0.0742857142857143,0.18,92.4028571428571,NA,NA,NA,NA,NA,NA,NA
109,"HS","3701 Hayes Street,  NE","834",36015,356,"Cesar Chavez PCS Parkside Upper",7,228,40,38.90143803,-76.94906511,"7",NA,NA,NA,"PCS",0.640449438202247,0.112359550561798,0.0196629213483146,101.165730337079,NA,NA,NA,NA,NA,NA,NA
102,"MS","3702 Hayes Street,  NE","",30870,303,"Cesar Chavez Parkside MS PCS",8,204,42,38.90143803,-76.94906511,"7",NA,NA,NA,"PCS",0.673267326732673,0.138613861386139,0.0264026402640264,101.881188118812,NA,NA,NA,NA,NA,NA,NA
115,"MS","405 Howard Place, NW","435",20968,294,"Howard University Middle School of Math and Science PCS",11,115,9,38.92284156,-77.01912932,"1",NA,NA,NA,"PCS",0.391156462585034,0.0306122448979592,0.0374149659863946,71.3197278911565,NA,NA,NA,NA,NA,NA,NA
186,"HS","4095 Minnesota Avenue, NE"," 	1,500 ",152000,883,"Friendship PCS Woodson Collegiate Academy",0,517,165,38.8975498,-76.94634663,"7",NA,NA,NA,"PCS",0.585503963759909,0.186862967157418,0,172.140430351076,NA,NA,NA,NA,NA,NA,NA
3068,"MS/HS","410 8th Street, NW"," 	1,062 ",44179,551,"Basis DC PCS",0,48,23,38.89521439,-77.0232213,"2",NA,NA,NA,"PCS",0.0871143375680581,0.0417422867513612,0,80.1796733212341,NA,NA,NA,NA,NA,NA,NA
121,"MS","421 P Street, NW","",36149,344,"KIPP DC WILL Academy PCS",3,138,66,38.90988639,-77.01811734,"6",NA,NA,NA,"PCS",0.401162790697674,0.191860465116279,0.00872093023255814,105.084302325581,NA,NA,NA,NA,NA,NA,NA
190,"ES","421 P Street, NW","",31736,302,"KIPP DC LEAD Academy",4,127,27,38.90988639,-77.01811734,"6",NA,NA,NA,"PCS",0.420529801324503,0.0894039735099338,0.0132450331125828,105.086092715232,NA,NA,NA,NA,NA,NA,NA
1129,"PK3-K","421 P Street, NW"," 	1,195 ",32786,312,"KIPP DC GROW Academy PCS",3,140,17,38.90988639,-77.01811734,"6",NA,NA,NA,"PCS",0.448717948717949,0.0544871794871795,0.00961538461538462,105.083333333333,NA,NA,NA,NA,NA,NA,NA
174,"MS/HS","4300 C Street, SE","488",48128,336,"School for Educational Evolution and Development (SEED) PCS",0,172,57,38.88713024,-76.94630306,"7",NA,NA,NA,"PCS",0.511904761904762,0.169642857142857,0,143.238095238095,NA,NA,NA,NA,NA,NA,NA
117,"ES/MS","4401 8th Street, NE","650",42016,425,"Potomac Preparatory PCS",0,261,50,38.9429707,-76.994532,"5",NA,NA,NA,"PCS",0.614117647058824,0.117647058823529,0,98.8611764705882,NA,NA,NA,NA,NA,NA,NA
1138,"HS","4501 Kansas Avenue, NW","861",17647,422,"E.L. Haynes Kansas Avenue - High School",66,218,90,38.94560189,-77.02241638,"4",NA,NA,NA,"PCS",0.516587677725118,0.213270142180095,0.156398104265403,41.8175355450237,NA,NA,NA,NA,NA,NA,NA
200,"ES","4600 Livingston Road, SE","200",32142,201,"Ingenuity Prep PCS",0,148,22,38.82390393,-77.00308684,"8",NA,NA,NA,"PCS",0.736318407960199,0.109452736318408,0,159.910447761194,NA,NA,NA,NA,NA,NA,NA
1120,"HS","4600 Livingston Road, SE","400",48933,306,"National Collegiate Prep PCS",0,213,40,38.82390393,-77.00308684,"8",NA,NA,NA,"PCS",0.696078431372549,0.130718954248366,0,159.911764705882,NA,NA,NA,NA,NA,NA,NA
132,"PK3-K","4801 Benning Road, SE","",24801,304,"KIPP DC LEAP Academy PCS",0,177,19,38.88262754,-76.93439427,"7",NA,NA,NA,"PCS",0.582236842105263,0.0625,0,81.5822368421053,NA,NA,NA,NA,NA,NA,NA
189,"MS","4801 Benning Road, SE"," 	1,608 ",27248,334,"KIPP DC KEY Academy PCS",1,161,37,38.88262754,-76.93439427,"7",NA,NA,NA,"PCS",0.482035928143713,0.110778443113772,0.0029940119760479,81.5808383233533,NA,NA,NA,NA,NA,NA,NA
1121,"ES","4801 Benning Road, SE","",32632,400,"KIPP DC Promise PCS",3,219,55,38.88262754,-76.93439427,"7",NA,NA,NA,"PCS",0.5475,0.1375,0.0075,81.58,NA,NA,NA,NA,NA,NA,NA
1106,"ES/MS","510 Webster Street, NW","425",30825,262,"Center City Petworth Campus PCS",53,97,19,38.94387114,-77.02090667,"4",NA,NA,NA,"PCS",0.370229007633588,0.0725190839694656,0.202290076335878,117.652671755725,NA,NA,NA,NA,NA,NA,NA
125,"MS","5200 2nd Street, NW","835",35040,366,"Washington Latin PCS MS",3,16,29,38.95388895,-77.01381902,"4",NA,NA,NA,"PCS",0.0437158469945355,0.0792349726775956,0.00819672131147541,95.7377049180328,NA,NA,NA,NA,NA,NA,NA
1118,"HS","5201 2nd Street, NW","835",29280,304,"Washington Latin PCS HS",6,70,31,38.95388895,-77.01381902,"4",NA,NA,NA,"PCS",0.230263157894737,0.101973684210526,0.0197368421052632,96.3157894736842,NA,NA,NA,NA,NA,NA,NA
236,"PK3-K","5300 Blaine Street, NE","764",28914,212,"KIPP DC Arts & Technology Academy PCS",1,129,14,NA,NA,NA,NA,NA,NA,"PCS",0.608490566037736,0.0660377358490566,0.00471698113207547,136.38679245283,NA,NA,NA,NA,NA,NA,NA
