"Agency","School","SCHOOLCODE","Address","maxOccupancy","ProjectPhase","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","longitude","latitude","Ward","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerEnroll","SpentPerSqFt"
"DCPS","Plummer Elementary School",299,"4601 Texas Ave  SE","448","Phase I",2014,"ES",69392,"PARTIAL MOD",13846933,26191,14299544,-76.939934676,38.887239863,"7","Sousa MS","Anacostia HS",428,24,354,54,0.827102803738318,0.126168224299065,0.0560747663551402,162.130841121495,32352.6471962617,199.546532741526
"DCPS","Powell Elementary School",300,"1350 Upshur St  NW","304","Full",2016,"ES",76848,"FULL MOD + ADD",25490976,2504026,44744174,-77.031227422,38.941534009,"4","Col. Hts. EC (6-8)","Cardozo EC (6-12)",446,250,202,57,0.452914798206278,0.12780269058296,0.560538116591928,172.304932735426,57154.6547085202,331.706433479076
"DCPS","Raymond Education Campus",302,"915 Spring Rd  NW","615","Phase 0",NA,"ES/MS",73600,"STABILIZED",0,19567000,19567000,-77.02643266,38.935810871,"4","","Roosevelt HS",581,245,308,96,0.530120481927711,0.165232358003442,0.421686746987952,126.678141135972,0,0
"DCPS","Ross Elementary School",305,"1730 R St  NW","176","Phase I",2012,"ES",22400,"PARTIAL MOD",2604666,0,2612974,-77.039662145,38.912390814,"2","Cardozo EC (6-8)","Cardozo EC (9-12)",166,28,10,5,0.0602409638554217,0.0301204819277108,0.168674698795181,134.939759036145,15690.7590361446,116.279732142857
"DCPS","Savoy Elementary School",307,"2400 Shannon Pl SE","430","Full",2009,"ES",86800,"FULL MOD + ADD",21059646,0,21059646,-76.993604261,38.862851652,"8","Kramer MS","Anacostia HS",408,4,333,51,0.816176470588235,0.125,0.00980392156862745,212.745098039216,51616.7794117647,242.622649769585
"DCPS","Seaton Elementary School",309,"1503 10th St  NW","325","Phase I",2011,"ES",65000,"PARTIAL MOD",4298925,0,4302057,-77.024882467,38.910618362,"6","Cardozo EC (6-8)","Cardozo EC (9-12)",295,125,148,32,0.501694915254237,0.108474576271186,0.423728813559322,220.338983050847,14572.6271186441,66.1373076923077
"DCPS","Shepherd Elementary School",313,"7800 14th St  NW","400","Phase I",2016,"ES",79696,"FULL MOD + ADD",20462934,1274389,31576280,-77.033995228,38.984602949,"4","Hardy MS","Wilson HS",318,6,59,39,0.185534591194969,0.122641509433962,0.0188679245283019,250.616352201258,64348.8490566038,256.762372013652
"DCPS","Simon Elementary School",315,"401 Mississippi Ave  SE","325","Phase I",2012,"ES",66192,"PARTIAL MOD",8505311,0,8672620,-77.000194997,38.835980202,"8","Hart MS","Ballou HS",293,2,227,38,0.774744027303754,0.129692832764505,0.0068259385665529,225.911262798635,29028.3651877133,128.494546168721
"DCPS","Smothers Elementary School",322,"4400 Brooks St  NE","344","Phase 0",NA,"ES",43000,"STABILIZED",152322,12679000,12831322,-76.938468639,38.893553701,"7","Kelly Miller MS","Woodson HS",275,6,203,30,0.738181818181818,0.109090909090909,0.0218181818181818,156.363636363636,553.898181818182,3.54237209302326
"DCPS","Stanton Elementary School",319,"2701 Naylor Rd  SE","586","Full",2016,"ES",95000,"FULL MOD + ADD",23307939,2165644,36035000,-76.968490227,38.859271774,"8","Kramer MS","Anacostia HS",578,0,502,94,0.868512110726644,0.162629757785467,0,164.359861591696,40325.1539792388,245.346726315789
