"School_ID","Agency","Address","maxOccupancy","Level","totalSQFT","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","unqBuilding","longitude","latitude","Ward","FeederMS","FeederHS","Total_Enrolled","Limited_English","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SpentPerMaxOccupancy","SpentPerSqFt","Open_Now","ProjectType","School"
NA,"DCPS","420 34th St NE",180,"SPED",77707,32133707,-2200000,29933707,1,-76.95752,38.89495,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,178520.594444444,413.52396823967,1,"Full Modernization","River Terrace Special Education Center"
459,"DCPS","4301 13th St NW",1030,"HS",331840,117015598,1887406,118903004,0,-77.027776341,38.943608176,4,"","",476,143,394,141,0.827731092436975,0.296218487394958,0.300420168067227,113607.376699029,352.62656099325,1,"Full Modernization","Roosevelt High"
456,"DCPS","4301 13th St NW",NA,"ADULT",NA,NA,1887406,NA,0,-77.027776341,38.943608176,4,"","",802,11,0,49,0,0.0610972568578554,0.013715710723192,NA,NA,1,NA,"Roosevelt STAY"
305,"DCPS","1730 R St  NW",176,"ES",22400,2604666,0,2604666,1,-77.039662145,38.912390814,2,"Cardozo EC (6-8)","Cardozo EC (9-12)",166,28,10,5,0.0602409638554217,0.0301204819277108,0.168674698795181,14799.2386363636,116.279732142857,1,"Partial Modernization","Ross Elementary"
307,"DCPS","2400 Shannon Pl SE",430,"ES",86800,21059646,0,21059646,1,-76.993604261,38.862851652,8,"Kramer MS","Anacostia HS",408,4,333,51,0.816176470588235,0.125,0.00980392156862745,48975.9209302326,242.622649769585,1,"Full Modernization","Savoy Elementary"
409,"DCPS","2425 N St  NW",437,"ES/MS",95088,1314689,20178000,21492689,1,-77.052320997,38.907469168,2,"","Cardozo EC (9-12)",414,25,109,58,0.263285024154589,0.140096618357488,0.0603864734299517,3008.44164759725,13.8260243143194,1,"Stabilized","School Without Walls @ Francis-Stevens Education Campus"
175,"DCPS","920 F STREET NE",450,"ES",59200,1365487,12028931,13394418,1,-76.993183024,38.897564662,6,NA,"",126,1,70,37,0.555555555555556,0.293650793650794,0.00793650793650794,3034.41555555556,23.0656587837838,1,"Partial Modernization","School-Within-School at Goding"
309,"DCPS","1503 10th St  NW",325,"ES",65000,4298925,0,4298925,1,-77.024882467,38.910618362,6,"Cardozo EC (6-8)","Cardozo EC (9-12)",295,125,148,32,0.501694915254237,0.108474576271186,0.423728813559322,13227.4615384615,66.1373076923077,1,"Partial Modernization","Seaton Elementary"
NA,"DCPS","925 Rhode Island Ave NW",NA,NA,230400,10000,0,10000,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0434027777777778,0,"Stabilized","Shaw"
315,"DCPS","401 Mississippi Ave  SE",325,"ES",66192,8505311,0,8505311,1,-77.000194997,38.835980202,8,"Hart MS","Ballou HS",293,2,227,38,0.774744027303754,0.129692832764505,0.0068259385665529,26170.1876923077,128.494546168721,1,"Partial Modernization","Simon Elementary"
322,"DCPS","4400 Brooks St  NE",344,"ES",43000,152322,12679000,12831322,1,-76.938468639,38.893553701,7,"Kelly Miller MS","Woodson HS",275,6,203,30,0.738181818181818,0.109090909090909,0.0218181818181818,442.796511627907,3.54237209302326,1,"Stabilized","Smothers Elementary"
427,"DCPS","3650 Ely Pl SE",636,"MS",136000,34545250,0,34545250,1,-76.953158845,38.883894076,7,NA,"Anacostia HS",284,0,209,82,0.735915492957746,0.288732394366197,0,54316.4308176101,254.009191176471,1,"Full Modernization","Sousa Middle"
319,"DCPS","2701 Naylor Rd  SE",586,"ES",95000,23307939,2165644,25473583,1,-76.968490227,38.859271774,8,"Kramer MS","Anacostia HS",578,0,502,94,0.868512110726644,0.162629757785467,0,39774.6399317406,245.346726315789,1,"Full Modernization","Stanton Elementary"
321,"DCPS","4001 Calvert St  NW",320,"ES",65200,18707417,0,18707417,1,-77.079073796,38.923044313,3,"Hardy MS","Wilson HS",418,72,18,15,0.0430622009569378,0.0358851674641148,0.172248803827751,58460.678125,286.923573619632,1,"Full Modernization","Stoddert Elementary"
428,"DCPS","410 E St  NE",450,"MS",115242,44653267,1190116,45843383,1,-77.00000438,38.89629737,6,"","Eastern HS",423,3,143,83,0.33806146572104,0.196217494089835,0.00709219858156028,99229.4822222222,387.473898405095,1,"Full Modernization","Stuart-Hobson Middle"
324,"DCPS","7010 Piney Branch Rd  NW",450,"ES/MS",118992,26979598,0,26979598,1,-77.022794928,38.975042541,4,"","Coolidge HS",442,113,189,70,0.427601809954751,0.158371040723982,0.255656108597285,59954.6622222222,226.734553583434,1,"Full Modernization","Takoma Education Campus"
325,"DCPS","650 Anacostia Ave NE",474,"ES",87600,7563320,0,7563320,1,-76.952110911,38.901278637,7,"Kelly Miller MS","Woodson HS",408,6,295,44,0.723039215686274,0.107843137254902,0.0147058823529412,15956.3713080169,86.3392694063927,1,"Partial Modernization","Thomas Elementary"
326,"DCPS","1200 L St  NW",320,"ES",74992,25521091,0,25521091,1,-77.028430033,38.903496003,2,"Jefferson Acad. MS","Eastern HS",272,141,124,40,0.455882352941176,0.147058823529412,0.518382352941177,79753.409375,340.317513868146,1,"Full Modernization","Thomson Elementary"
327,"DCPS","800 Ingraham St  NW",542,"ES/MS",69600,4465045,7489000,11954045,1,-77.025071576,38.953968357,4,"","Roosevelt HS",526,239,290,104,0.551330798479088,0.197718631178707,0.454372623574144,8238.09040590406,64.1529454022989,1,"Partial Modernization","Truesdell Education Campus"
328,"DCPS","3101 13th St  NW",500,"ES",66592,3644743,0,3644743,1,-77.029443298,38.929198235,1,"Col. Hts. EC (6-8)","Cardozo EC (9-12)",498,167,302,69,0.606425702811245,0.13855421686747,0.335341365461847,7289.486,54.7324453387794,1,"Partial Modernization","Tubman Elementary"
