"MajorExp9815","YearsOpen","Open","Open.Now","School","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","Level","Address","maxOccupancy","totalSQFT","unqBuilding","longitude","latitude","Ward","TotalAllotandPlan1621","LifetimeBudget","FeederMS","FeederHS","ProjectPhase","YrComplete","ProjectType","Agency","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerMaxOccupancy","SpentPerSqFt","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt"
1168680,3,2013,1,"Latin American Youth Center Career Academy",190,36,0,6,"ALT","3047 15th Street, NW",225,15500,1,-77.0357768,38.9285225,"1",NA,NA,NA,NA,NA,NA,NA,"PCS",0,0.0315789473684211,0.189473684210526,81.5789473684211,5194.13333333333,75.3987096774194,389560,1731.37777777778,25.1329032258065
6686938,8,2008,1,"Mary McLeod Bethune Day Academy PCS Slowe Campus",381,8,237,35,"ES/MS","1404 Jackson Street, NE",450,56927,1,-76.9863281,38.9295686,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.622047244094488,0.0918635170603675,0.020997375328084,149.41469816273,14859.8622222222,117.465139564706,835867.25,1857.48277777778,14.6831424455882
6961429,11,2005,1,"Maya Angelou Evans Campus PCS",252,0,0,88,"ALT","5600 E Capitol Street, NE",646,78625,1,-76.9199181,38.8902854,"7",NA,NA,NA,NA,NA,NA,NA,"PCS",0,0.349206349206349,0,312.003968253968,10776.2058823529,88.5396375198728,632857.181818182,979.655080213904,8.04905795635207
1144584,3,2013,1,"Maya Angelou Young Adult Learning Center",147,0,1,17,"ADULT","5600 E Capitol Street, NE",NA,47175,1,-76.9199181,38.8902854,"7",NA,NA,NA,NA,NA,NA,NA,"PCS",0.00680272108843537,0.115646258503401,0,320.918367346939,NA,24.2625119236884,381528,NA,8.0875039745628
3140088,4,2012,1,"Mundo Verde Bilingual PCS",404,84,57,22,"ES","30 P Street, NW",897,36148,1,-77.0103408,38.9092812,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.141089108910891,0.0544554455445545,0.207920792079208,89.4752475247525,3500.65551839465,86.867544539117,785022,875.163879598662,21.7168861347792
3142236,7,2006,1,"The Next Step PCS",363,203,0,13,"ALT","3047 15th Street, NW",375,31352,1,-77.0357768,38.9285225,"1",NA,NA,NA,NA,NA,NA,NA,"PCS",0,0.0358126721763085,0.559228650137741,86.3691460055096,8379.296,100.224419494769,448890.857142857,1197.04228571429,14.3177742135384
2883960,4,2012,1,"Richard Wright PCS for Journalism and Media Arts",305,1,225,58,"MS/HS","770 M Street, SE",398,28000,1,-76.995574,38.877003,"6",NA,NA,NA,NA,NA,NA,NA,"PCS",0.737704918032787,0.19016393442623,0.00327868852459016,91.8032786885246,7246.13065326633,102.998571428571,720990,1811.53266331658,25.7496428571429
1217280,2,2014,1,"Somerset PCS",240,0,160,44,"MS","3301 Wheeler Road, SE",1149,112000,1,-76.9939903,38.842272,"8",NA,NA,NA,NA,NA,NA,NA,"PCS",0.666666666666667,0.183333333333333,0,466.666666666667,1059.42558746736,10.8685714285714,608640,529.712793733681,5.43428571428571
4643648,7,2009,1,"Washington Latin PCS HS",304,6,70,31,"HS","5201 2nd Street, NW",835,29280,1,-77.013189,38.953489,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.230263157894737,0.101973684210526,0.0197368421052632,96.3157894736842,5561.25508982036,158.594535519126,663378.285714286,794.46501283148,22.656362217018
6687433,7,2009,1,"Washington Latin PCS MS",366,3,16,29,"MS","5200 2nd Street, NW",835,35040,1,-77.0140391,38.9538896,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.0437158469945355,0.0792349726775956,0.00819672131147541,95.7377049180328,8008.90179640719,190.851398401826,955347.571428571,1144.12882805817,27.2644854859752
1560816,4,2012,1,"AppleTree Early Learning PCS Southeast",178,1,129,4,"PK3-K","2011 Savannah Terrace, SE",230,17161,0,-76.972974,38.8494641,"8",NA,NA,NA,NA,NA,NA,NA,"PCS",0.724719101123595,0.0224719101123595,0.00561797752808989,96.4101123595506,6786.15652173913,90.9513431618204,390204,1696.53913043478,22.7378357904551
1560816,4,2012,1,"AppleTree Early Learning PCS Southeast",178,1,129,4,"PK3-K","2017 Savannah Terrace, SE",230,17161,0,-76.9746704,38.8485617,"8",NA,NA,NA,NA,NA,NA,NA,"PCS",0.724719101123595,0.0224719101123595,0.00561797752808989,96.4101123595506,6786.15652173913,90.9513431618204,390204,1696.53913043478,22.7378357904551
13482960,10,2006,1,"Community Academy Amos I",590,213,261,53,"ES","1300 Allison Street, NW",957,55000,1,-77.030868,38.944517,"4",NA,NA,NA,NA,NA,NA,NA,"PCS",0.442372881355932,0.0898305084745763,0.361016949152542,93.2203389830509,14088.7774294671,245.144727272727,1348296,1408.87774294671,24.5144727272727
5565731,10,2006,1,"Community Academy Amos II",329,86,193,18,"ES","33 Riggs Road, NE",600,50600,1,-77.006643,38.9549208,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.586626139817629,0.0547112462006079,0.261398176291793,153.799392097264,9276.21833333333,109.994683794466,556573.1,927.621833333333,10.9994683794466
7783669,10,2006,1,"Potomac Preparatory PCS",425,0,261,50,"ES/MS","4401 8th Street, NE",650,42016,1,-76.9944091,38.9430337,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0.614117647058824,0.117647058823529,0,98.8611764705882,11974.8753846154,185.254879093679,778366.9,1197.48753846154,18.5254879093679
786432,1,2015,1,"Academy of Hope Adult PCS",256,0,0,0,"ADULT","
421 Alabama Avenue, SE",186,21375,0,-76.9998836,38.842743,"8",NA,NA,NA,NA,NA,NA,NA,"PCS",0,0,0,83.49609375,4228.12903225806,36.7921403508772,786432,4228.12903225806,36.7921403508772
786432,1,2015,1,"Academy of Hope Adult PCS",256,0,0,0,"ADULT","601 Edgewood Street, NE",186,21375,0,-76.9971713,38.9237975,"5",NA,NA,NA,NA,NA,NA,NA,"PCS",0,0,0,83.49609375,4228.12903225806,36.7921403508772,786432,4228.12903225806,36.7921403508772
1182840,8,2008,1,"AppleTree Early Learning Center PCS Lincoln Park",60,2,5,5,"PK3-K","138 12th Street, NE",73,8975,1,-76.9905578,38.8914903,"6",NA,NA,NA,NA,NA,NA,NA,"PCS",0.0833333333333333,0.0833333333333333,0.0333333333333333,149.583333333333,16203.2876712329,131.792757660167,147855,2025.41095890411,16.4740947075209
736320,4,2012,1,"AppleTree Early Learning Center PCS Southwest",86,4,41,2,"PK3-K","801 7th Street, SW",158,6162,1,-77.0229317,38.8798501,"6",NA,NA,NA,NA,NA,NA,NA,"PCS",0.476744186046512,0.0232558139534884,0.0465116279069767,71.6511627906977,4660.25316455696,119.493670886076,184080,1165.06329113924,29.873417721519
4551672,3,2013,1,"Basis DC PCS",551,0,48,23,"MS/HS","410 8th Street, NW",1062,44179,1,-77.0233079,38.8953055,"6",NA,NA,NA,NA,NA,NA,NA,"PCS",0.0871143375680581,0.0417422867513612,0,80.1796733212341,4285.94350282486,103.027954458,1517224,1428.64783427495,34.3426514860001
