"Agency","maxOccupancy","Level","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","FeederMS","FeederHS","AtRiskPer","SpentPerMaxOccupancy","SpentPerSqFt","Open_Now","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt","Ward","School"
"DCPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dorothy Height Elementary"
"DCPS",NA,NA,"4532419",0,"4532419",NA,NA,NA,NA,23.3870949432405,0,NA,NA,NA,NA,"Ferebee Hope"
"DCPS",NA,NA,"5560714",0,"5560714",NA,NA,NA,NA,67.2395888754534,0,NA,NA,NA,NA,"Garnett Patterson"
"DCPS",NA,NA,"874564",50026000,"53650564",NA,NA,NA,NA,79.5058181818182,0,NA,NA,NA,NA,"Macfarland"
"DCPS",NA,NA,NA,0,"0",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Malcolm X"
"DCPS",NA,NA,"0",0,"0",NA,NA,NA,NA,0,0,NA,NA,NA,NA,"Marshall"
"DCPS",NA,NA,"1706121",0,"1706121",NA,NA,NA,NA,15.2332232142857,0,NA,NA,NA,NA,"Mcterrell"
"DCPS",NA,NA,"18696",0,"18696",NA,NA,NA,NA,0.208428093645485,0,NA,NA,NA,NA,"MM Washington"
"DCPS",NA,NA,"6934511",0,"6934511",NA,NA,NA,NA,94.0910583446404,0,NA,NA,NA,NA,"Montgomery/Kipp"
"DCPS",NA,NA,"1446215",0,"1446215",NA,NA,NA,NA,10.0641266527488,0,NA,NA,NA,NA,"RH Terrell"
"DCPS",NA,NA,"0",44597000,"47347000",NA,NA,NA,NA,0,0,NA,NA,NA,NA,"Ron Brown"
"DCPS",NA,NA,"1e+05",0,"1.00E+05",NA,NA,NA,NA,1.18483412322275,0,NA,NA,NA,NA,"Rudolph"
"DCPS",NA,NA,"10000",0,"10000",NA,NA,NA,NA,0.0434027777777778,0,NA,NA,NA,NA,"Shaw"
"DCPS",NA,NA,"5e+05",0,"5.00E+05",NA,NA,NA,NA,3.45065562456867,0,NA,NA,NA,NA,"Wilkinson"
"PCS",225,"ALT","1168680",3561360,NA,NA,NA,0,6150.94736842105,75.3987096774194,1,389560,2050.31578947368,25.1329032258065,"1","Latin American Youth Center Career Academy"
"PCS",1900,"MS","8354731",6016824,NA,NA,NA,0.588785046728972,26027.199376947,58.0189652777778,1,835473.1,2602.7199376947,5.80189652777778,"8","KIPP DC AIM Academy "
