"Agency","School","Address","maxOccupancy","ProjectPhase","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","unqBuilding","longitude","latitude","Ward","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","SpentPerMaxOccupancy","SpentPerSqFt","YearsOpen","Open","Open.Now","AnnualExpenseAverage","AnnualSpentPerMaxOccupany","AnnualSpentPerSqFt"
"DCPS","Thomson ES","1200 L St  NW",320,"Full",2006,"ES",74992,"FULL MOD + ADD",25521091,0,25521091,1,-77.028430033,38.903496003,2,"Jefferson Acad. MS","Eastern HS",272,141,124,40,0.455882352941176,0.147058823529412,0.518382352941177,275.705882352941,79753.409375,340.317513868146,NA,NA,1,NA,NA,NA
"DCPS","Truesdell EC","800 Ingraham St  NW",542,"Phase I",2010,"ES/MS",69600,"PARTIAL MOD",4465045,7489000,11954045,1,-77.025071576,38.953968357,4,"","Roosevelt HS",526,239,290,104,0.551330798479088,0.197718631178707,0.454372623574144,132.319391634981,8238.09040590406,64.1529454022989,NA,NA,1,NA,NA,NA
"DCPS","Tubman ES","3101 13th St  NW",500,"Phase I",2009,"ES",66592,"PARTIAL MOD",3644743,0,3644743,1,-77.029443298,38.929198235,1,"Col. Hts. EC (6-8)","Cardozo EC (9-12)",498,167,302,69,0.606425702811245,0.13855421686747,0.335341365461847,133.718875502008,7289.486,54.7324453387794,NA,NA,1,NA,NA,NA
"DCPS","Turner ES","3264 Stanton Rd SE",530,"Full",2013,"ES",101093,"FULL MOD + ADD",27580545,0,27695424,1,-76.980309925,38.847634942,8,"Johnson MS","Ballou HS",392,0,333,52,0.849489795918367,0.13265306122449,0,257.890306122449,52038.7641509434,272.823489262362,NA,NA,1,NA,NA,NA
"DCPS","Tyler ES","1001 G St  SE",564,"Phase I",2010,"ES",69600,"PARTIAL MOD",3750929,0,3750929,1,-76.992041663,38.881084023,6,"Jefferson Acad. MS","Eastern HS",522,9,239,74,0.457854406130268,0.14176245210728,0.0172413793103448,133.333333333333,6650.58333333333,53.892658045977,NA,NA,1,NA,NA,NA
"DCPS","Walker-Jones EC","1125 New Jersey Ave NW",700,"Full",2009,"ES/MS",95000,"FULL REPLACEMENT",40442253,0,40442253,1,-77.01391586,38.904191757,6,"","Dunbar HS",465,8,348,124,0.748387096774194,0.266666666666667,0.0172043010752688,204.301075268817,57774.6471428571,425.707926315789,NA,NA,1,NA,NA,NA
"DCPS","Watkins ES","420 12th St  SE",587,"Phase 0",NA,"ES",69296,"STABILIZED",2675972,30313978,39400200,1,-76.989996769,38.883466674,6,"Stuart-Hobson MS","Eastern HS",500,4,98,45,0.196,0.09,0.008,138.592,4558.72572402044,38.6165435234357,NA,NA,1,NA,NA,NA
"DCPS","Wheatley EC","1299 Neal St NE",500,"Full",2009,"ES/MS",86368,"FULL MOD + ADD",42645563,0,42645768,1,-76.988500771,38.90411741,5,"","Dunbar HS",NA,NA,NA,NA,NA,NA,NA,NA,85291.126,493.765781307892,NA,NA,1,NA,NA,NA
"DCPS","Whittier EC","6201 5th St  NW",520,"Phase I",2013,"ES/MS",71092,"PARTIAL MOD + ADD",5208611,0,5241031,1,-77.019238602,38.965856939,4,"","Coolidge HS",350,38,214,74,0.611428571428571,0.211428571428571,0.108571428571429,203.12,10016.5596153846,73.265782366511,NA,NA,1,NA,NA,NA
"DCPS","Cardozo EC","1200 Clifton St. NW",1070,"Full",2013,"MS/HS",397400,"FULL MOD + ADD",131527974,0,132124454,1,-77.028470794,38.922172198,1,"","",781,266,573,188,0.733674775928297,0.240717029449424,0.340588988476312,508.834827144686,122923.340186916,330.971248112733,NA,NA,1,NA,NA,NA
