Appendix 4: PCS Building Enrollment and Program Capacity Serving PK3-5th Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The following table shows the location of each school's building, its total enrollment, the number and share of enrollment that is just PK3-5, and programmatic capacities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School ID,School Name,"School Address, SY14-15",Ward,Grades Served,"Total Building 
Enrollment, SY14-151","PK3-5th Enrollment, SY14-15",% of Enrollment that is PK3-5," Programmatic Capacity, SY14-152 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Mary McLeod Bethune Day Academy PCS – Slowe Campus,1404 Jackson Street NE,Ward 5,PK3-8th,381,307,81%,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Meridian PCS,2120 13th St NW,Ward 1,PK3-8th,639,508,79%,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3065,Mundo Verde Bilingual PCS,30 P Street NW,Ward 5,PK3-3rd,404,404,100%,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Perry Street Preparatory PCS (co-locating with LAMB PCS),1800 Perry Street NE,Ward 5,PK3-12th,619,269,43%,775*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Potomac Preparatory PCS,4401 8th Street NE,Ward 5,PK3-8th,425,327,77%,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Roots PCS,"6222 North Capitol Street, NW",Ward 4,PK3-5th,95,95,100%,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 Kennedy St NW,,,,,100%,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Sela PCS (co-locating with Shining Stars Montessori PCS),6015 Chillum Pl NE,Ward 4,PK3-2nd,86,86,100%,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3066,Shining Stars Montessori Academy PCS (co-locating with Sela PCS),6017 Chillum Place NE,Ward 4,PK3-3rd,118,118,100%,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Tree of Life Community PCS,2315 18th Place NE,Ward 5,PK3-8th,286,246,86%,286**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Two Rivers PCS – Elementary Campus,1227 4th St NE ,Ward 6,PK3-5th,381,381,100%,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
