School Names,,GSF (building),21CSF  sq ft,21CSF Comments about square footage,Major Project year completed,Current Replacement Value (CRV),2014 FCI (Incl Backlog),Foundations,Foundations Score,Basement Construction,Basement Score, Exterior Enclosure,Exterior Enc. Score, Roofing,Roofing Score,Interior Construction,Interior Const. Score,Stairs,Stairs Score,Interior Finishes,Interior Finishes Score,Conveying Systems,Conveying Systems Score,Plumbing,Plumbing Score,HVAC,HVAC Score,Fire Protection Systems,Fire Systems Score,Electrical Systems,Electrical Score,Site Improvements,Site Imp. Score,Site Civil/ Mechanical Utilities,Site Civil/Mech Utilities Score,Site Electrical Utilities,Electrical Utilities Score,General Requirements,Gen. Req. Score,Has A Carbon Monoxide Monitors,(DCPS FCI) FCI Base Year +1,(DCPS FCI) FCI Base Year +2,(DCPS FCI) FCI Base Year +3,(DCPS FCI) FCI Base Year +4,(DCPS FCI) FCI Base Year +5,(DCPS FCI) Base Year for FCI,(DCPS FCI) FCI Base Year,,Carbon Mon. Score,Converted Average,Standardized Facility Score,Row Labels,Sum of Expenditures through FY 2013,Sum of Expenditures in FY 2014,Sum of Expenditures in FY 2015,Total expenditures 1998-2015,Expenditures per 21CSF Gross sq ft ,Sum of Allotments  in FY 2016,Sum of Expenditures in FY 2016,Sum of FY 2017,Sum of FY 2018,Sum of FY 2019,Sum of FY 2020,Sum of FY 2021,Total FY16 Allotted and  FY17-21 Planned  Expenditures,Total Planned and Allotted FY16-21 per 21CSF GSF,Sum of Lifetime Budget
Francis/Stevens,Francis Stevens Education Campus," 	107,751 ","95,088",,," 	35,889,703 ",0.01%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,No,0.01%,0.19%,0.67%,0.00%,0.25%,2013,0.00%,0,5,1.63,4,FRANCIS/STEVENS,$0,$0,"$1,314,689","$1,314,689",$13.83,$0,$0,$0,$0,"$20,178,000",$0,$0,"$20,178,000",$212.20,"$22,278,000"
Garfield,Garfield Elementary School," 	68,201 ","58,904",,," 	22,716,389 ",3.05%,Good,1,Good,1,Fair,3,Poor,5,Poor,5,Good,1,Fair,3,Poor,5,Fair,3,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Poor,5,No,0.42%,1.11%,0.00%,0.00%,0.34%,2013,0.00%,0.0263273735052613,5,2.63,5,GARFIELD,$0,$0,"$1,082,203","$1,082,203",$18.37,$0,"$67,908",$0,$0,"$12,516,000",$0,$0,"$12,583,908",$213.63,"$14,338,493"
GARNETT PATTERSON,Garnett Patterson (Closed),,"82,700",used for swing space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARNETT PATTERSON,"$5,560,714",$0,$0,"$5,560,714",$67.24,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$5,560,714"
Garrison,Garrison Elementary School," 	62,160 ","60,200",,," 	20,051,416 ",5.26%,Good,1,Good,1,Fair,3,Fair,3,Good,1,Good,1,Fair,3,N/A,FALSE,Fair,3,Poor,5,Good,1,Fair,3,Fair,3,Good,1,Good,1,Good,1,No,,,,,,,,,5,2.25,3,GARRISON,$0,"$374,231","$281,415","$655,646",$10.89,"$20,000,000",$0,$0,$0,$0,$0,$0,"$20,000,000",$332.23,"$24,000,000"
GREEN,Green (Closed),,"77,700",Co-located: Malcolm X @ Green and Achievement Prep PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREEN,$0,$0,$0,$0,$0.00,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$52,963"
Hardy,Hardy Middle School," 	106,341 ","107,200",,2008," 	35,420,060 ",0.00%,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Fair,3,No,,,,,,,,,5,1.50,3,HARDY,"$50,758,871",$0,$0,"$50,758,871",$473.50,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$50,758,871"
Hart,Hart Middle School," 	149,164 ","210,700","149,164  must reflect adjustment downward for an unused floor or wing.",," 	49,683,545 ",1.12%,Fair,3,Good,1,Poor,5,Good,1,Good,1,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,N/A,FALSE,Good,1,Fair,3,Good,1,Good,1,Good,1,No,1.11%,0.01%,0.00%,0.00%,0.80%,2013,0.00%,0.000104501399557134,5,1.80,5,HART,"$13,075,759",$0,$0,"$13,075,759",$62.06,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$13,214,760"
Hearst,Hearst Elementary School," 	17,213 ","62,309","17,213 is the original building without demountables or addition. Main classroom addition is complete.  Total building will be 62,309 with gym/cafeteria additionto be  finished August 2015.",2016," 	5,733,306 ",1.62%,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,Poor,5,Good,1,Good,1,N/A,FALSE,Poor,5,Good,1,Good,1,Good,1,N/A,FALSE,No,,,,,,,,,5,1.93,5,HEARST,"$8,696,091","$9,220,398","$17,762,217","$35,678,706",$572.61,"-$26,290","$387,567",$0,$0,$0,$0,$0,"$361,277",$5.80,"$43,433,519"
Hendley,Hendley Elementary School," 	66,329 ","73,200",Phase I 2015; was there an addition?,," 	22,092,863 ",15.43%,Good,1,N/A,FALSE,Good,1,Good,1,Good,1,Good,1,Good,1,Fair,3,Good,1,Good,1,N/A,FALSE,Good,1,Good,1,Poor,5,Good,1,Good,1,No,0.01%,0.03%,0.00%,0.11%,0.41%,2013,0.01%,0.154120152769768,5,1.67,3,HENDLEY,"$14,886,502","$901,291","$149,334","$15,937,127",$217.72,$0,$0,$0,$0,$0,$0,$0,$0,$0.00,"$16,150,915"
Houston,Houston Elementary School," 	48,544 ","59,896","Is the smaller sq. footage  of 48,544 due to a floor being closed off?",," 	16,169,036 ",7.95%,Good,1,N/A,FALSE,Poor,5,Fair,3,Good,1,Fair,3,Poor,5,N/A,FALSE,Fair,3,Fair,3,N/A,FALSE,Fair,3,Good,1,Good,1,Good,1,Good,1,No,0.30%,1.52%,1.78%,0.00%,2.03%,2013,0.00%,0.0765369677411656,5,2.57,2,HOUSTON,$0,"$41,406","$1,149,626","$1,191,032",$19.89,$0,$0,"$15,693,000",$0,$0,$0,$0,"$15,693,000",$262.00,"$16,943,000"
