Sector,LEA ID,LEA Name,School ID,School Name,Total Enrolled,PK3,PK4,KG,01,02,03,04,05,06,07,08,09,10,11,12,Adult,Alternative,SPED Program,Limited English Proficient,Level 1,Level 2,Level 3,Level 4,At_Risk
DCPS,001,District of Columbia Public Schools,227,H D Cooke ES,400,27,57,60,51,56,56,43,50,0,0,0,0,0,0,0,0,0,0,164,32,5,0,2,215
Charters,177,Lee Montessori PCS,228,Lee Montessori PCS,74,36,20,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,10
DCPS,001,District of Columbia Public Schools,231,Drew ES,201,19,29,36,36,24,23,16,18,0,0,0,0,0,0,0,0,0,0,0,20,6,2,0,166
DCPS,001,District of Columbia Public Schools,232,Eaton ES,475,0,36,73,76,77,69,78,66,0,0,0,0,0,0,0,0,0,0,43,13,18,3,1,26
Charters,178,Academy of Hope Adult PCS,233,Academy of Hope Adult PCS,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0
Charters,179,Democracy Prep PCS-Congress Heights,234,Democracy Prep PCS-Congress Heights,620,51,51,101,58,103,89,59,55,53,0,0,0,0,0,0,0,0,0,1,42,14,7,7,436
Charters,129,KIPP DC PCS,236,KIPP DC Arts & Technology Academy PCS,212,61,77,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,1,129
Charters,129,KIPP DC PCS,237,KIPP DC Quest Academy PCS,282,0,0,0,74,69,53,48,38,0,0,0,0,0,0,0,0,0,0,1,18,15,3,7,176
DCPS,001,District of Columbia Public Schools,238,Garfield ES,284,24,29,42,38,55,35,42,19,0,0,0,0,0,0,0,0,0,0,0,22,6,1,4,233
DCPS,001,District of Columbia Public Schools,239,Garrison ES,244,52,34,37,39,24,17,27,14,0,0,0,0,0,0,0,0,0,0,35,25,5,5,24,117
Charters,129,KIPP DC PCS,242,KIPP DC Northeast Academy PCS,126,0,0,0,0,0,0,0,54,72,0,0,0,0,0,0,0,0,0,1,2,17,1,2,70
Charters,180,Harmony DC Public Charter School,245,Harmony DC PCS-School of Excellence,66,0,0,13,9,16,12,13,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,40
