Facility Name,Facility ID,ES Feeder,MS Feeder,HS Feeder,Address Line 1,Address Line 2,City,State,Zip Code,Year Built,Age,Building Sq Footage,Acres,Site Sq Footage,FacilityTypeCode,KeyID,Building Zoning,"School Additions, Modernization",General Comments,Enrollment Capacity,Percent Utilized 2008-2009,Grade Start,Grade End,Building Type,FacilityType
MCKINLEY TECHNOLOGY HS,458,,,,"151 T St. , NE",,WASHINGTON,DC,20002,1928,82,282200,20.67,900470,SHS,MCKIX0695,R3,,,800,0,9th,12th,Active School,SCHOOL
ELIOT-HINE ,407,,,Eastern HS,"1830 Constitution Avenue, N.E",,WASHINGTON,DC,20002-6699,1931,79,155100,4.82,209785,MS,ELIOX0632,R-4,"1936, 1964",,850,30,6th,8th,Active School,SCHOOL
JEFFERSON,415,,,Eastern HS,"801 7th Street, S.W.",,WASHINGTON,DC,20024-2486,1940,70,109000,3.36,146543,MS,JEFFX0665,R-3,N/A,contains note,900,47,6th,8th,Active School,SCHOOL
CAPITOL HILL MONTESSORI @ LOGAN  ,269,,NA,Eastern HS,3rd & G Street NE,,WASHINGTON,DC,20002,1935,75,47200,0.21,9125,K8,LOGAX0686,R-4,1949,Was administrative; Cap. Hill Montessori moved in 2011,CHECK,CHECK,PreK,8th,Active School,SCHOOL
LUDLOW-TAYLOR,271,,Stuart-Hobson MS,Eastern HS,"659 G Street, N.E.",,WASHINGTON,DC,20002-3649,1969,41,66900,3.29,143256,ELEM,LUDLX0688,R-4,N/A,,364,48,PreK,5th,Active School,SCHOOL
MAURY,274,,Eliot-Hine MS,Eastern HS,"1250 Constitution Avenue, N.E",,WASHINGTON,DC,20002-6412,1886,124,46800,1.71,74384,ELEM,MAURX0693,R-4,1961,,276,86,PreS,5th,Active School,SCHOOL
MINER,280,,Eliot-Hine MS,Eastern HS,"601 15th Street, N.E.",,WASHINGTON,DC,20002-4599,1900,110,76900,0.59,25665,ELEM,MINEX0699,R-5-B,"1961, new school 2003",Photo is of the former active school; there is also an historic 19th century school on the site.   A new school was opened in 2003 and the 1961 addition was demolished.,551,87,PreS,5th,Active School,SCHOOL
PAYNE,295,,Eliot-Hine MS,Eastern HS,"305 15th Street, S.E.",,WASHINGTON,DC,20003-0001,1896,114,83800,0.51,22033,ELEM,PAYNX0711,R-4,"1953, 1958, 1971",,497,41,PreS,5th,Active School,SCHOOL
PEABODY (CAPITOL HILL CLUSTER),301,Watkins ES (1st-5th),Stuart-Hobson MS,Eastern HS,"425 C Street, N.E.",,WASHINGTON,DC,20003-5817,1880,130,37800,0.7,30606,ELEM,PEABX0712,C-2-A,N/A,"Peabody feeds to Watkins for 1st Grade; with Watkins and Stuart-Hobson, Peabody is part of the Capitol Hill Cluster ",210,71,PreS,Kind.,Active School,SCHOOL
STUART-HOBSON (CAPITOL HILL CLUSTER) ,428,,,Eastern HS,"410 E Street, N.E.",,WASHINGTON,DC,20002-4927,1927,83,105900,1.68,73134,MS,STUAX0747,R-4,1931,,460,86,5th,8th,Active School,SCHOOL
THOMSON,326,,Jefferson Acad. MS,Eastern HS,"1200 L Street, N.W.",,WASHINGTON,DC,20005-4015,1910,100,100000,0.63,27435,ELEM,THOMX0755,C-2-C,1924,Square footage includes structured parking and play areas,320,110,PreS,5th,Active School,SCHOOL
TYLER,330,,Jefferson Acad. MS,Eastern HS,"1001 G Street, S.E.",,WASHINGTON,DC,20003-2808,1949,61,69600,1.79,77929,ELEM,TYLEX0760,R-4,1968,,452,52,PreS,5th,Active School,SCHOOL
VAN NESS ,331,,Jefferson Acad. MS,Eastern HS,"1150 5th Street, S.E.",,WASHINGTON,DC,20003-3485,1956,54,49400,2.13,92836,ELEM,VAN X0761,R-5-B,Extensive Modernization 2015,"Re-opened 2015-16, as PK3-K, adding grades",CHECK,CHECK,PreS,Kind.,Active School,SCHOOL
"PHELPS ARCHITECTURE, CONSTRUCTION & ENGINEERING HIGH SCHOOL",478,,,,"704 26th Street, N.E.",,WASHINGTON,DC,20002-3267,1934,76,147000,12.4,540000,SHS,PHELX0715,R-5-B,"1974, completely modernized ",,530,22,9th,11th,Active School,SCHOOL
WATKINS (CAPITOL HILL CLUSTER),333,,Stuart-Hobson MS,Eastern HS,"420 12th Street, S.E.",,WASHINGTON,DC,20003-2208,1962,48,69300,4.28,186640,ELEM,WATKX0766,R-4,1967,,578,95,1st,5th,Active School,SCHOOL
"WILSON, J.O.",339,,Stuart-Hobson MS,Eastern HS,"660 K Street, N.E.",,WASHINGTON,DC,20002-3530,1961,49,98900,3.41,148500,ELEM,WILSX0774,R-4,1974,,412,81,PreS,5th,Active School,SCHOOL
KELLY MILLER,421,,,HD Woodson HS,"301 49th Street, N.E.",,WASHINGTON,DC,20019,2004,6,115000,7.17,312200,MS,MILLX0902,R-4,,,600,65,6th,8th,Active School,SCHOOL
BARNARD ,205,,Truesdell or West EC (6th-8th),Roosevelt HS,"430 Decatur Street, N.W.",,WASHINGTON,DC,20011-4798,"2003 Replacement, original 1926",84,"72,500",3.44,149846,ELEM,BARNX0593,R-3,"1928, 1962","1926 school demolished, replacement schoolopened  2003",0,0,PS-5,,Demolished,Demolished
MACFARLAND MS,420,,,Roosevelt HS,"4400 Iowa Avenue, N.W.",,WASHINGTON,DC,20011-5604,1923,87,110000,8.79,382740,MS,MACFX0689,R-4,"1925, 1927, 1932",,610,23,5th,8th,Active School,SCHOOL
RIVER TERRACE,304,,NA,,"420 34th Street, N.E.",,WASHINGTON,DC,20019-1400,1952,58,62800,4.17,181540,ELEM,RIVEX0725,R-3,1959,,281,66,PreS,5th,Active School,SCHOOL
ROOSEVELT,459,,,,"4301 13th Street, N.W.",,WASHINGTON,DC,20011-5678,1932,78,331900,7.79,339485,SHS,ROOSX0726,R-4,1960,,1055,75,9th,12th,Active School,SCHOOL
RAYMOND,302,,,Roosevelt HS,"915 Spring Road, N.W.",,WASHINGTON,DC,20010-1500,1924,86,73600,2.97,129200,K8,RAYMX0722,R-4,"1928, 1966",,479,63,PreS,8th,Active School,SCHOOL
TRUESDELL,327,,,Roosevelt HS,"800 Ingraham Street, N.W.",,WASHINGTON,DC,20011-2925,1908,102,69600,1.17,50749,K8,TRUEX0757,R-3,"1926, 1938, 1967","According to SA recommendations, Roosevelt is open, these students will feed there, when MacFarland MS is open they will feed to MacFarland.",471,81,PreS,8th,Active School,SCHOOL
WEST,336,,,Roosevelt HS,"1338 Farragut Street, N.W.",,WASHINGTON,DC,20011-6908,1978,32,69600,1.17,50813,K8,WESTX0770,R-1-B,N/A,,530,43,PreS,8th,Active School,SCHOOL
"OYSTER-ADAMS BILINGUAL SCHOOL, ADAMS CAMPUS",201,,NA,Wilson HS,"2020 19th Street, N.W.",,WASHINGTON,DC,20009-1308,1930,80,59400,1.5072,65654,MS,ADAMX0846,R-5-B,,,304,90,4th,8th,Active School,SCHOOL
SHARPE HEALTH (STAY?),312,,NA,,"4300 13th Street, N.W.",,WASHINGTON,DC,20011-5692,1958,52,80500,4.82,210022,SP ED,SHARX0735,R-4,N/A,,201,54,PreK,12th,Active School,SCHOOL
BANCROFT,204,,Deal MS,Wilson HS,"1755 Newton Street, N.W.",,WASHINGTON,DC,20010-1830,1924,86,79800,3.55,154546,ELEM,BANCX0591,R-4,"1933, 1939, 1963, 1976",,527,87,PreS,5th,Active School,SCHOOL
DEAL,405,,,Wilson HS,3815 Fort Dr. N.W,,WASHINGTON,DC,20016-1871,1931,79,181000,7.32,318949,MS,DEALX0624,R-1-B,"1935, 1937, 1962, 1970, 2008",Major modernization and addition opened 2008-09.,1000,55,6th,8th,Active School,SCHOOL
EATON,232,,Hardy MS,Wilson HS,"3301 Lowell Street, N.W.",,WASHINGTON,DC,20008-3300,1911,99,49100,1.39,60615,ELEM,EATOX0630,R-1-B,"1923, 1931, 1934, 1982",,418,100,PreK,5th,Active School,SCHOOL
HARDY,2010,,,Wilson HS,LEASED,FOXHALL RD. & VOLTA PL. NW,WASHINGTON,DC,,1936,74,17500,4.34,189161,LEASED,HARDX0652,,,,0,0,,,,LEASED
HEARST,258,,Deal MS,Wilson HS,"3950 37th Street, N.W.",,WASHINGTON,DC,20008-3199,1932,78,17400,3.67,160000,ELEM,HEARX0658,R-1-B,N/A,,181,90,PreK,5th,Active School,SCHOOL
HYDE-ADDISON ,252,,Hardy MS,Wilson HS,"3219 O Street, N.W.",,WASHINGTON,DC,20007-2843,1907,103,38000,1.49,64725,ELEM,HYDEX0662,R-3,N/A,"Added 18,000 GSF to 20,000 GSF to include addison; mar 22 2010",263,73,PreK,5th,Active School,SCHOOL
JANNEY,254,,Deal MS,Wilson HS,"4130 Albemarle Street, N.W.",,WASHINGTON,DC,20016-2185,1925,85,43400,3.64,158454,ELEM,JANNX0664,R-1-B,"1932, Portables 2006",,364,134,PreK,5th,Active School,SCHOOL
KEY,272,,Hardy MS,Wilson HS,"5001 Dana Place, N.W.",,WASHINGTON,DC,20016-3400,1928,82,50000,3.17,137998,ELEM,KEYX0670,R-1-B,"17,400 1928; 1932, 2003",Complete modernization and addition 2003,320,102,PreK,5th,Active School,SCHOOL
LAFAYETTE,261,,Deal MS,Wilson HS,"5701 Broad Branch Road, N.W.",,WASHINGTON,DC,20015-2595,1931,79,113600,5.92,258074,ELEM,LAFAX0676,R-1-B,"1938, 1942, 1978",,486,125,PreK,5th,Active School,SCHOOL
MANN,273,,Hardy MS,Wilson HS,"4430 Newark Street, N.W.",,WASHINGTON,DC,20016-2737,1931,79,21903,3.81,166035,ELEM,MANNX0691,R-1-B,1993,,213,125,PreK,5th,Active School,SCHOOL
