School_ID,Agency,Address,maxOccupancy,Level,totalSQFT,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget,FeederMS,Total_Enrolled,Limited_English,At_Risk,SPED,AtRiskPer,SPEDPer,ESLPer,SqFtPerEnroll,SpentPerMaxOccupancy,SpentPerSqFt,Open_Now,ProjectPhase,YrComplete,ProjectType,FeederHS,longitude,latitude,Ward,School
280,DCPS,601 15th St  NE,550,ES,76896,6391359,0,6391359,Eliot-Hine MS,398,7,296,66,0.743718593,0.165829146,0.01758794,193,11620.65273,83.11692416,1,Full,2003,Full Replacement,Eastern HS,-76.9829046,38.8979598,6,Miner Elementary
285,DCPS,1565 Morris Rd SE,480,ES,99696,27716993,0,27856881,Kramer MS,395,0,348,65,0.881012658,0.164556962,0,252,57743.73542,278.0150959,1,Full,2012,Full Modernization,Anacostia HS,-76.9828753,38.8564345,8,Moten Elementary
287,DCPS,4810 36th St  NW,488,ES,47696,748083,63156000,68294774,Deal MS,620,56,18,23,0.029032258,0.037096774,0.090322581,77,1532.956967,15.68439701,1,Phase 0,2018,Full Modernization,Wilson HS,-77.0704556,38.9527132,3,Murch Elementary
288,DCPS,219 50th St  SE,400,ES,83900,11521407,0,11570572,Kelly Miller MS,384,6,295,45,0.768229167,0.1171875,0.015625,218,28803.5175,137.323087,1,Phase I,2012,Partial Modernization,Woodson HS,-76.9311143,38.8860027,7,Nalle Elementary
290,DCPS,2725 10th St  NE,391,ES,51496,24719301,0,24719301,Brookland MS,289,11,182,44,0.629757785,0.152249135,0.038062284,178,63220.71867,480.0237106,1,Full,2004,Full Modernization,Dunbar HS,-76.9915985,38.9250297,5,Noyes Elementary
291,DCPS,2200 Minnesota Ave  SE,392,ES,75900,0,41995000,44995000,Kramer MS,384,2,295,54,0.768229167,0.140625,0.005208333,198,0,0,1,Phase 0,NA,Stabilized,Anacostia HS,-76.974441,38.8720446,8,Orr Elementary
292,DCPS,2020 19th St. NW,324,MS,59400,3803375,12236000,16039375,NA,314,NA,NA,NA,NA,NA,NA,NA,11738.81173,64.02988215,1,Phase 0,NA,Stabilized,Wilson HS,-77.0443928,38.9172561,1,Oyster-Adams Bilingual School
292,DCPS,2801 Calvert St NW,350,ES,47984,0,0,NA,NA,263,NA,NA,NA,NA,NA,NA,NA,0,0,1,Full,2001,Full Replacement,Wilson HS,-77.0572024,38.9235663,3,Oyster-Adams Bilingual School
294,DCPS,4399 South Capitol Terr  SW,382,ES,76896,32570942,0,5365870,Hart MS,380,1,323,44,0.85,0.115789474,0.002631579,202,85264.24607,423.5713431,1,Full,2004,Full Replacement,Ballou HS,-77.0081965,38.8267436,8,Patterson Elementary
295,DCPS,1445 C St SE,348,ES,83792,22389213,27450,27815086,Eliot-Hine MS,277,5,165,30,0.59566787,0.108303249,0.018050542,302,64336.81897,267.1998878,1,Full,2016,Full Modernization,Eastern HS,-76.984559,38.884501,6,Payne Elementary
