Agency,School,SCHOOLCODE,Address,maxOccupancy,Enroll.Cap,ProjectPhase,YrComplete,Level,totalSQFT,ProjectType,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget,LON,LAT,WARD,FeederMS,FeederMSNum,FeederHS,FeederHSNum,Total.Enrolled,Limited.English.Proficient,At_Risk,SPED,AtRiskPer,SPEDPer,ESLPer,SqFtPerEnroll,SpentPerEnroll,SpentPerSqFt,MajorExp9815,TotalAllotandPlan1621,LifetimeBudget
DCPS,H.D. Cooke Elementary School,227,2525 17th St NW,440,440,Full,2009,ES,85696,FULL MOD + ADD,32500688,0,32500688,-77.03881058,38.92394275,1,Col Hts. Ed. Campus (6-8),14,Cardozo EC (9-12),7,400,164,215,42,0.5375,0.105,0.41,214.24,81251.72,379.2556012,32500688,0,32500688
DCPS,Hardy Middle School,246,1819 35th St  NW,485,485,Full,2008,MS,107200,FULL MOD + ADD,50758871,0,50758871,-77.0686139,38.9155087,2,,8,Wilson HS,2,386,18,96,62,0.248704663,0.160621762,0.046632124,277.7202073,131499.6658,473.496931,50758871,0,50758871
DCPS,Hart Middle School,413,601 Mississippi Ave  SE,912,912,Phase I,2011,MS,210700,PARTIAL MOD,13075759,0,13214760,-76.99717875,38.83773754,8,NA,10,Ballou HS,8,479,0,393,128,0.82045929,0.267223382,0,439.874739,27298.03549,62.05865686,13075759,0,13214760
DCPS,Jefferson Middle School,433,801 7th St SW,570,570,Phase 0,NA,MS,108992,STABILIZED,0,35993000,35993000,-77.02291066,38.8798706,6,,5,Eastern HS,5,277,3,179,67,0.646209386,0.241877256,0.010830325,393.4729242,0,0,0,35993000,35993000
DCPS,Kelly Miller Middle School,421,301 49th St  NE,600,720,Full,2004,MS,114992,FULL REPLACEMENT,10614880,0,10614880,-76.93245507,38.89331503,7,,1,Woodson HS,1,546,7,382,146,0.6996337,0.267399267,0.012820513,210.6080586,19441.17216,92.30972589,10614880,0,10614880
DCPS,King Elementary School,344,3200 6th St  SE,444,444,Phase 0,NA,ES,65496,STABILIZED,4118755,372458,6567738,-76.99823899,38.84244285,8,Hart MS,10,Ballou HS,8,372,2,327,55,0.879032258,0.147849462,0.005376344,176.0645161,11071.92204,62.88559607,4118755,372458,6567738
DCPS,Kramer Middle School,417,1700 Q St  SE,600,600,Phase I,2014,MS,153984,PARTIAL MOD,30951777,0,35059047,-76.98017131,38.87128607,8,NA,12,Anacostia HS,4,333,0,267,110,0.801801802,0.33033033,0,462.4144144,92948.27928,201.0064487,30951777,0,35059047
DCPS,LaSalle-Backus Education Campus,264,501 Riggs Road NE,400,400,Phase I,2012,ES/MS,63000,PARTIAL MOD,14206295,0,14545500,-76.99988254,38.95997181,4,noMiddleSchool,,Coolidge HS,9,349,106,183,50,0.524355301,0.143266476,0.303724928,180.5157593,40705.71633,225.496746,14206295,0,14545500
DCPS,"Phelps Architecture, Construction, and Engineering High School",478,704 26th Street NE,512,512,Full,2008,ART,146976,FULL MOD + ADD,0,0,NA,-76.97189763,38.90199169,5,,,,,323,9,166,42,0.513931889,0.13003096,0.027863777,455.0340557,0,0,0,0,NA
DCPS,School Without Walls High School,466,2130 G St NW,520,520,Full,2009,ALT,74000,FULL MOD + ADD,0,0,NA,-77.04818647,38.89812379,2,,,,,590,0,91,4,0.154237288,0.006779661,0,125.4237288,0,0,0,0,NA
